日付,会場,R,クラス,距離,トラック,出走頭数,gap,軸,軸LPI,相手1,相手2,相手3,相手4,実際1着,実際2着,馬単的中,馬単配当,馬連的中,馬連配当,メモ
20260628,函館,8,1勝クラス,1200.0,T,11,2.6,クレセントウイング,88.3,マグネシアブリック,アートフォーム,ニルマーネル,,,,,,,,
20260628,函館,12,2勝クラス,1200.0,T,14,0.2,エクストラバック,87.0,ライツユーアップ,ヴィヴァクラウン,キープサインオン,,,,,,,,
